symbol,bars,avg_close,max_high,min_low,total_vol
POWERINDIA.NS,251,26114.195219123507,38785.0,16111.0,36701896
PRECOT.NS,249,nan,899.0,300.05,2049459
PRISMX.NS,19,nan,0.61,0.47,2989957
QPOWER.NS,252,nan,1570.0,581.0,176136963
SKFINDIA.NS,252,nan,5074.0,1404.0,14117407
SKFINDUS.NS,191,nan,3131.0,1994.1,7266517
IL&FSTRANS.NS,249,nan,3.34,1.75,11970434
INDIAGLYCO.NS,251,973.793426294821,1222.0,217.0,48843773
INDIANCARD.NS,249,nan,303.05,153.0,1000727
INDOSTAR.NS,251,nan,292.0,179.03,40104337
INDUSTOWER.NS,252,nan,481.5,337.8,1610731964
INNOVANA.NS,249,nan,564.8,290.0,2599674
IPL.NS,250,nan,240.25,125.0,96651951
IPRINGLTD.NS,23,nan,187.0,138.0,174320
IRCON.NS,252,148.04730158730158,189.5,112.55,901723866
IXIGO.NS,252,213.40424603174603,339.15,151.27,603017370
JAICORPLTD.NS,251,121.34207171314743,173.4,88.0,265692400
JBMA.NS,252,627.5303571428573,790.0,477.0,455644121
JISLDVREQS.NS,251,nan,35.48,18.5,8263230
JKPAPER.NS,251,nan,444.8,304.85,98493467
JMA.NS,249,nan,103.7,70.25,3615929
JOCIL.NS,250,nan,175.12,91.25,1436967
JSWENERGY.NS,252,523.9509920634921,617.35,427.75,740620488
JUBLFOOD.NS,252,nan,658.0,408.55,656315585
KABRAEXTRU.NS,251,282.4598007968127,733.0,180.0,27839163
KALYANKJIL.NS,251,461.7581673306772,648.95,327.05,2484215814
KAYA.NS,251,nan,487.9,224.01,5052021
KAYNES.NS,251,4360.268529482072,7705.0,2995.0,387318318
KECL.NS,251,110.88390438247012,155.0,75.47,70463185
KIMS.NS,251,nan,858.0,575.8,116918557
KKCL.NS,249,nan,595.0,408.35,10066705
KMEW.NS,252,1847.3724186507936,3175.0,876.95,44521848
KOTYARK.NS,251,nan,45.5,17.3818,68164416
KRISHANA.NS,251,123.54601593625497,206.39,86.2,256662231
LAMBODHARA.NS,250,nan,162.0,81.8,10054683
LEMONTREE.NS,251,131.05892430278885,179.59,99.61,934054895
LICHSGFIN.NS,251,540.9288844621515,598.2,458.9,424024128
LT.NS,252,3952.112694444445,4440.0,3288.1001,556152969
LTTS.NS,251,nan,4726.0,3010.0,33687098
LUMAXIND.NS,250,nan,6934.5,4061.0,6556487
MAHLOG.NS,251,nan,450.0,275.05,65798226
MANBA.NS,250,nan,154.0,98.0,23195852
GRASIM.NS,251,nan,3411.1001,2502.5,187374902
GRMOVER.NS,251,136.77178007968126,185.45,81.95,550638738
GVT&D.NS,252,3786.1678551587297,5650.0,2523.2,212078387
HALEOSLABS.NS,249,nan,1774.0,1091.1,383177
HBSL.NS,250,nan,108.8,42.63,5385427
HCC.NS,252,21.97211468253968,30.0,13.65,7719912139
HDFCAMC.NS,251,2646.289442231076,2967.25,2205.6001,238721400
HINDALCO.NS,251,nan,1176.0,731.95,1417572067
HONDAPOWER.NS,249,nan,2949.0,1816.6,1283668
HPIL.NS,250,nan,154.45,107.0,1070841
HUBTOWN.NS,251,232.86075697211152,339.4,168.15,180225911
ICDSLTD.NS,249,nan,71.45,36.4,1182059
ICICIAMC.NS,184,3086.0326070652177,3611.0,2530.0,129579146
RADHIKAJWE.NS,250,70.71468000000002,99.65,50.01,220205543
RRECL.NS,19,nan,151.99,125.58,12358
SHIVAMAUTO.NS,250,nan,35.79,13.05,19613723
SIGMA.NS,250,nan,65.5,35.46,70819661
SIL.NS,249,nan,22.3,11.7,11055645
MINALIND.NS,19,nan,5.89,1.71,2896430
MKEXIM.NS,19,nan,68.69,52.0,387718
MOLBIO.NS,20,1161.1024999999997,1686.8,926.35,98052501
IFCI.NS,252,63.17710317460316,107.5,46.23,9482873297
KSE.NS,23,nan,665.4,173.31,596616
SPY,251,705.0264940239044,779.37,629.28,17251260700
STEL.NS,251,497.86892430278874,689.95,380.0,2881794
SUNPHARMA.NS,252,nan,2046.9,1548.0,645859153
SURAJEST.NS,252,nan,319.0,166.25,55650585
TEGA.NS,250,1772.1787996000005,2125.0,1473.0,44090143
TEXRAIL.NS,252,117.31396825396828,153.0,78.05,711524176
TGBHOTELS.NS,249,nan,13.4,7.5,8825329
TGVSL.NS,19,nan,114.24,102.5,3284443
THAKDEV.NS,19,nan,160.0,125.35,6086
TIMETECHNO.NS,252,nan,249.15,154.0,654410848
TIMEX.NS,101,nan,687.8,323.0,48348803
TIRUMALCHM.NS,250,nan,328.8,143.5,105662821
TNPETRO.NS,252,nan,146.99,78.67,128262199
TRITONV.NS,19,nan,1219.3,1059.3,62789
UGARSUGAR.NS,24,51.03666666666667,62.1,42.05,25879011
V2RETAIL.NS,24,219.60666666666665,226.7,211.31,25993180
VINATIORGA.NS,24,1327.0708333333334,1385.0,1300.2,1240203
VITAL.NS,24,52.7125,57.19,48.1,242250
VLEGOV.NS,24,10.379583333333334,11.8,9.22,1564316
VMSTMT.NS,24,47.28875,53.05,43.76,2161434
WELCORP.NS,24,2130.2375083333336,2676.0,1701.0,62181129
WELENT.NS,24,633.5020833333334,825.0,557.1,20126649
WINDMACHIN.NS,24,304.5083333333334,326.0,265.6,5499866
WORTHPERI.NS,24,155.11041666666665,169.8,145.0,640108
YATHARTH.NS,24,902.2520833333332,1024.85,824.0,11679815
ZAGGLE.NS,24,192.2541666666667,211.35,154.36,126333015
ZENITHSTL.NS,24,5.459166666666666,6.43,4.66,2479007
ZODIAC.NS,24,249.67208333333335,294.8,236.0,476818
AAATECH.NS,249,nan,136.0,76.11,18092138
ABMINTLLTD.NS,250,nan,72.8,34.0,457702
ADANIGREEN.NS,252,1158.0543650793654,1631.5,765.0,860778165
ADDIND.NS,19,nan,94.6,71.05,23029
AEPL.NS,127,nan,20.25,13.25,6521422
AETHER.NS,251,nan,1717.0,726.45,83014033
AIRAN.NS,250,nan,27.49,12.63,24448646
ALANKIT.NS,249,nan,14.16,6.8,59472062
ALBERTDAVD.NS,249,nan,931.85,579.9,1437031
ALFREDHE.NS,19,nan,3151.0,2775.5,1254
AMBALALSA.NS,102,nan,49.98,30.15,14844996
ANANTRAJ.NS,252,561.992857142857,743.65,403.0,886664429
APLAPOLLO.NS,252,nan,2301.3999,1653.3,165882410
ARCHIES.NS,249,nan,24.38,10.86,7839865
ARE&M.NS,252,889.4394841269838,1057.85,670.0,201093122
AUSTENG.NS,19,nan,139.0,110.0,62255
AYE.NS,145,nan,197.29,88.22,265505329
BANARISUG.NS,250,nan,4338.0,3105.2,321471
BEARDSELL.NS,251,nan,38.6,20.02,9895623
BESTAGRO.NS,251,nan,34.4,12.3,677208682
BFUTILITIE.NS,251,597.6972111553785,898.7,368.7,29139607
BHAGERIA.NS,250,186.64596,342.0,127.51,53021216
BLUESTONE.NS,251,577.7045816733068,926.0,399.8,388702809
BODALCHEM.NS,250,64.02192000000001,189.68,42.81,149549886
BOHRAIND.NS,250,nan,26.66,11.6,4384862
BORORENEW.NS,252,nan,721.0,374.4,172162061
BRITANNIA.NS,252,nan,6319.5,4945.0,86410581
BUTTERFLY.NS,250,662.6919999999999,823.85,565.8,19422872
BVCL.NS,249,nan,62.0,31.2,8311734
CARBORUNIV.NS,251,nan,1306.9,735.2,59839896
CENTURYPLY.NS,250,768.296,859.0,618.5,22925618
CHENNPETRO.NS,252,1019.5166666666668,1677.5,716.8,587910238
CHOLAHLDNG.NS,251,nan,2064.0,1305.0,56416722
CLEDUCATE.NS,249,nan,109.7,35.48,13780251
COFFEEDAY.NS,252,nan,46.92,21.0,325886975
COLPAL.NS,252,nan,2413.8,1782.0,102934966
CURAA.NS,249,nan,235.2,60.0,186269
DAVANGERE.NS,252,nan,5.5,1.74,3706173607
DBSTOCKBRO.NS,249,nan,48.5,23.15,8800907
DCAL.NS,251,nan,321.95,128.5,101507741
DCW.NS,252,nan,76.35,37.11,354720260
DEEPINDS.NS,251,480.23924302788845,825.0,330.0,94416589
DELHIVERY.NS,251,nan,524.0,374.45,763680186
DHANUKA.NS,249,nan,1620.4,889.6,13689189
DIXON.NS,252,13007.238095238095,18471.0,9600.0,134501321
DREDGECORP.NS,251,950.9659362549801,1286.0,538.0,113511105
DTIL.NS,249,nan,198.9,102.0,2858335
EBGNG.NS,251,411.77310756972105,704.9,239.0,114674830
EBIX.NS,19,nan,22.83,16.03,1507417
EMKAY.NS,250,nan,409.9,186.0,20445944
ENIL.NS,250,nan,166.45,98.57,6384438
EPIGRAL.NS,251,nan,1808.8,807.0,16440307
EVEREADY.NS,251,nan,457.65,259.65,36788895
GANESHBE.NS,250,nan,135.85,68.4,81403237
GLOBE.NS,250,nan,3.29,1.8,204532752
GNRL.NS,19,nan,117.8,94.21,5577430
WATERBASE.NS,19,54.36526315789474,74.9,44.11,454778
RAMASTEEL.NS,250,nan,11.58,3.43,2599400636
RAMBHAJO.NS,53,205.42660377358493,289.0,161.6,78969952
RIR.NS,42,164.79119047619048,203.83,154.0,23684903
RML.NS,251,nan,1440.0,608.5,12512173
RPPINFRA.NS,250,nan,153.0,53.0,27616205
RUCHIRA.NS,251,117.87414342629481,173.0,95.17,15715912
SAILIFE.NS,252,nan,1697.0,783.85,141360024
SCILAL.NS,251,45.36733067729083,55.0,34.3,139570032
SENCO.NS,251,334.9272908366534,430.0,276.0,353427818
SEYAIND.NS,249,nan,23.99,8.54,2189186
SGFIN.NS,252,nan,727.45,323.0,83263635
SHAHALLOYS.NS,250,nan,116.85,53.1,9154176
MEDANTA.NS,250,nan,1544.0,956.0,57933765
MGL.NS,250,nan,1378.0,900.0,71050210
MHLXMIRU.NS,249,nan,244.65,105.53,7750536
MKPL.NS,250,nan,8.85,3.56,53408638
MOHITE.NS,19,nan,3.3,2.21,2209613
MOLDTECH.NS,249,nan,227.0,101.1,23161611
MPDL.NS,19,nan,45.29,23.26,106617
MTEDUCARE.NS,249,nan,2.53,1.17,7756640
MUKKA.NS,251,24.19808764940239,33.22,18.27,141032033
NAHARSPING.NS,250,nan,349.0,149.2,7156517
NATCOPHARM.NS,251,924.8173306772907,1226.8,789.0,263758306
NEAGI.NS,19,nan,3600.0,3256.0,770
NELCAST.NS,250,122.38047999999998,173.2,85.98,54244045
NETWEB.NS,251,3862.366933067729,5813.0,2822.3,480073341
NHPC.NS,252,79.22734126984128,89.22,71.62,4169466929
NKIND.NS,250,nan,87.78,49.66,1188645
NMDC.NS,252,82.20444444444443,97.49,72.24,5750843642
ODIGMA.NS,250,nan,56.09,20.0,6887428
ONESOURCE.NS,252,1628.6198412698413,1925.0,1057.0,79042493
ORIENTPPR.NS,251,20.294223107569717,28.96,13.25,76488693
PANORAMA.NS,19,nan,56.2,40.0,8379704
PARASPETRO.NS,251,nan,3.23,1.53,55403411
PGHL.NS,249,nan,6975.0,4707.0,3990633
PKTEA.NS,249,nan,1169.0,605.0,326126
PNGSREVA.NS,134,nan,644.0,324.25,47458366
POWERMECH.NS,250,nan,3125.0,1717.7,23492111
PSPPROJECT.NS,249,nan,1143.0,569.2,42755871
PVSL.NS,251,nan,163.0,82.41,19384869
SMARTLINK.NS,251,nan,233.0,103.5,2956010
IKS.NS,251,1630.2,1933.0,1262.0,61275256
INFOMEDIA.NS,250,nan,8.05,4.5,4935654
ISHANCH.NS,251,nan,83.37,41.71,11784918
IVP.NS,250,nan,222.0,110.0,3798785
KAMOPAINTS.NS,250,nan,9.41,3.6,161339553
KIRLOSENG.NS,250,nan,2720.0,865.55,154018559
KPL.NS,19,nan,3798.8999,3211.1001,848901
LAKSHMIMIL.NS,15,nan,8499.0,7540.0,506
LODHA.NS,251,1051.8342629482072,1344.95,650.8,527554128
MAHASTEEL.NS,249,nan,1421.0,381.25,4813816
MAHESHWARI.NS,249,nan,76.81,39.04,5907485
MAHSCOOTER.NS,250,nan,18538.0,10901.0,1447970
MANAPPURAM.NS,252,302.71567460317465,381.55,245.15,1149147757
MAPMYINDIA.NS,250,nan,1998.0,795.0,78801886
GTECJAINX.NS,249,nan,38.35,15.54,3881276
HSCL.NS,252,547.7115079365082,819.5,418.5,1371257726
HUHTAMAKI.NS,251,211.7391235059761,330.0,148.6,129637091
IBULLSLTD.NS,252,19.148571428571422,32.5,8.9,1752883310
RAILTEL.NS,251,324.7502390438247,412.9,245.0,424492623
SHARDUL.NS,102,nan,60.0,23.05,1310101
SHK.NS,251,nan,257.44,111.98,116347620
SILINV.NS,250,nan,767.0,380.0,1270788
SHINDL.NS,19,nan,175.0,156.2,4157752
SHIPROCKET.NS,18,134.86777777777777,156.9,124.0,617917980
SPANDANA.NS,251,251.7366932270916,319.4,181.1,78913672
SSWL.NS,250,nan,384.15,169.0,158995676
STALLION.NS,252,199.25845555555557,423.8,99.32,447931590
SUMMITSEC.NS,251,1753.5031832669322,2495.0,1312.0,1923955
SURANASOL.NS,250,nan,36.5,18.31,20996445
SURANAT&P.NS,249,nan,26.45,15.5,28778181
SWARAJENG.NS,249,nan,4545.0,3301.3,4234319
SWISSMLTRY.NS,19,16.01631578947368,18.5,13.11,3825776
TCI.NS,250,nan,1242.0,843.2,8248270
TEAMLEASE.NS,250,nan,1944.3,1065.2,11918044
TECHNOCRAF.NS,21,361.6585714285714,459.8,284.0,70867817
TENNIND.NS,206,549.3230582524272,657.0,438.05,419137373
THEMISMED.NS,251,nan,148.0,64.95,62829014
TRACXN.NS,251,nan,55.9,25.39,58638734
UBL.NS,24,1356.6083333333333,1455.8,1276.4,2398564
UCOBANK.NS,24,25.74875,26.77,24.3,83096441
UMAEXPORTS.NS,24,22.946250000000003,27.25,19.55,937794
V,22,372.00363636363636,385.57,358.05,137125500
VIDHIING.NS,24,330.9833333333333,360.0,303.1,971753
VIJIFIN.NS,24,13.38125,16.58,10.61,2832443
VIMTALABS.NS,24,635.2458333333334,675.0,609.05,7159080
VIPCLOTHNG.NS,24,20.54583333333333,22.23,19.55,1223520
VIVIANA.NS,24,720.0520833333334,804.7,661.0,476592
WESTLIFE.NS,24,573.06875,608.95,523.55,3215193
WINDLAS.NS,24,964.5666666666667,1152.4,808.05,6690431
WONDERLA.NS,24,503.5104166666667,555.0,461.0,5235111
XTGLOBAL.NS,24,30.736250000000002,35.0,27.5,2781225
AARTIPHARM.NS,251,nan,946.1,585.0,80330056
ABAN.NS,251,nan,45.62,12.89,15466722
ABBOTINDIA.NS,251,nan,31495.0,25135.0,2359812
ABFRL.NS,252,nan,94.95,49.4,1451867379
ABSLAMC.NS,251,928.437250996016,1224.9,708.0,95616103
ACCELYA.NS,251,nan,1527.0,1012.4,3845140
ACL.NS,249,nan,100.01,40.5,6649207
ACSTECH.NS,19,nan,61.5,48.42,5957962
ADOR.NS,251,nan,1766.4,848.0,9120632
ALOKINDS.NS,251,14.313745019920319,19.34,7.06,1926376183
ANDHRSUGAR.NS,252,nan,107.23,66.5,115890384
APOLLO.NS,252,309.66246031746033,466.5,179.5,2448530472
ARIHANTCAP.NS,251,nan,120.0,56.97,281948372
ARIHANTSUP.NS,249,nan,465.0,188.8,21710419
ARMANFIN.NS,250,nan,2158.6001,1301.0,10420418
