indicator_id,country_iso3,date,value,prev,yoy
SP.POP.TOTL,GUM,2023,166506.0,165180.0,0.00802760624772975
SP.POP.TOTL,IBD,2022,4928196300.0,,
SP.POP.TOTL,IBD,2023,4952209753.0,4928196300.0,0.004872665685009341
SP.POP.TOTL,IRQ,2022,44070551.0,,
SP.POP.TOTL,IRQ,2023,45074049.0,44070551.0,0.02277026216440997
SP.POP.TOTL,JAM,2022,2839144.0,,
SP.POP.TOTL,ARG,2022,45407904.0,,
SP.POP.TOTL,ARG,2023,45538401.0,45407904.0,0.0028738829257567143
SP.POP.TOTL,AUT,2022,9041851.0,,
SP.POP.TOTL,AUT,2023,9131761.0,9041851.0,0.009943760409234791
SP.POP.TOTL,BLR,2022,9228071.0,,
SP.POP.TOTL,BLR,2023,9178298.0,9228071.0,-0.005393651609312499
SP.POP.TOTL,CYP,2022,1331370.0,,
SP.POP.TOTL,CYP,2023,1344976.0,1331370.0,0.010219548284849441
SP.POP.TOTL,EGY,2022,112618250.0,,
SP.POP.TOTL,EGY,2023,114535772.0,112618250.0,0.01702674300124536
SP.POP.TOTL,ETH,2022,125384287.0,,
SP.POP.TOTL,ETH,2023,128691692.0,125384287.0,0.02637814577196583
SP.POP.TOTL,GRL,2022,56661.0,,
SP.POP.TOTL,GRL,2023,56865.0,56661.0,0.0036003600360036
SP.POP.TOTL,IDB,2022,651895919.0,,
SP.POP.TOTL,IDB,2023,664395892.0,651895919.0,0.0191747986690495
SP.POP.TOTL,IDX,2022,1213611049.0,,
SP.POP.TOTL,IDX,2023,1240832942.0,1213611049.0,0.02243049206121722
SP.POP.TOTL,KEN,2023,55339003.0,54252461.0,0.02002751543381599
SP.POP.TOTL,KOR,2022,51672569.0,,
SP.POP.TOTL,KOR,2023,51712619.0,51672569.0,0.0007750727470120559
SP.POP.TOTL,LAO,2022,7559007.0,,
SP.POP.TOTL,LAO,2023,7664993.0,7559007.0,0.014021153836740725
SP.POP.TOTL,LCA,2022,178781.0,,
SP.POP.TOTL,LCA,2023,179285.0,178781.0,0.002819091514198936
SP.POP.TOTL,LMY,2022,6590522389.0,,
SP.POP.TOTL,LMY,2023,6654784822.0,6590522389.0,0.009750734343495757
SP.POP.TOTL,LTE,2022,2323799602.0,,
SP.POP.TOTL,LTE,2023,2326294294.0,2323799602.0,0.001073540075423423
SP.POP.TOTL,MEA,2022,782349366.0,,
SP.POP.TOTL,MEA,2023,797801454.0,782349366.0,0.01975087942999624
SP.POP.TOTL,NPL,2022,29715436.0,,
SP.POP.TOTL,NPL,2023,29694614.0,29715436.0,-0.0007007132589271111
SP.POP.TOTL,SUR,2022,623164.0,,
SP.POP.TOTL,SUR,2023,628886.0,623164.0,0.00918217355302938
SP.POP.TOTL,SYC,2022,119878.0,,
SP.POP.TOTL,SYC,2023,119773.0,119878.0,-0.0008758904886634745
SP.POP.TOTL,TEA,2022,2107261123.0,,
SP.POP.TOTL,TEA,2023,2111139152.0,2107261123.0,0.0018403172524148542
SP.POP.TOTL,CHI,2022,167215.0,,
SP.POP.TOTL,CHI,2023,167691.0,167215.0,0.0028466345722572735
SP.POP.TOTL,EAR,2022,3470644834.0,,
SP.POP.TOTL,EAR,2023,3511607650.0,3470644834.0,0.01180265280927331
SP.POP.TOTL,GIB,2022,37609.0,,
SP.POP.TOTL,GIB,2023,38471.0,37609.0,0.022920045733733945
SP.POP.TOTL,LBN,2022,5744489.0,,
SP.POP.TOTL,LBN,2023,5773493.0,5744489.0,0.005049013062780693
SP.POP.TOTL,MKD,2022,1831712.0,,
SP.POP.TOTL,MKD,2023,1827816.0,1831712.0,-0.00212697192571758
SP.POP.TOTL,MLT,2022,531113.0,,
SP.POP.TOTL,MLT,2023,552747.0,531113.0,0.04073332793586299
SP.POP.TOTL,NZL,2022,5081700.0,,
SP.POP.TOTL,NZL,2023,5200000.0,5081700.0,0.023279611153747763
SP.POP.TOTL,IBT,2023,6857438587.0,6793703268.0,0.009381528230738146
SP.POP.TOTL,IMN,2022,84132.0,,
SP.POP.TOTL,IMN,2023,84165.0,84132.0,0.0003922407645129083
SP.POP.TOTL,LVA,2022,1879383.0,,
SP.POP.TOTL,LVA,2023,1883710.0,1879383.0,0.002302351356801674
SP.POP.TOTL,NER,2022,25311973.0,,
